compound,result0
Co17Ce2-1090,0
Co5Ce-662,0
Co7Ce2-50,0
Fe17Ce2-233,0
Fe2Ce-235,0
Co2Dy-141,0
Co3Dy-450,0
Co5Dy-977,0
Mn23Dy6-443,2
Mn2Dy-37,2
Ni17Dy2-170,0
Ni2Dy-28,0
Ni5Dy-13,0
NiDy-64,0
Co2Er-39,0
Co3Er-401,0
Co5Er-1066,0
Co7Er-1123,0
CoEr3-7,0
Fe17Er2-299,0
Fe23Er6-498,0
Fe2Er-587,0
Ni3Er-66,0
Ni5Er-11,0
Ni7Er2-74,0
NiEr-12,0
Ni2Eu-139,1
Co17Gd2-1209,0
Co2Gd-405,0
Co3Gd-631,0
Co3Gd4-233,0
Co5Gd-1002,0
CoGd3-143,0
Fe17Gd2-479,0
Fe23Gd6-659,0
Fe2Gd-814,0
Fe3Gd-725,0
Fe5Gd-470,0
Mn23Gd6-465,2
Mn2Gd-135,2
Ni17Gd-189,0
Ni2Gd-77,0
Ni3Gd-113,0
Ni5Gd-32,0
NiGd-71,0
Co2Ho-83,0
Co5Ho-1026,0
CoHo3-10,0
Fe17Ho2-335,0
Fe23Ho6-507,0
Fe2Ho-560,0
Mn2Ho-25,2
Ni2Ho-16,0
Ni5Ho-14,0
NiHo-38,0
Co13La-1298,0
Co5La-838,0
Fe2Lu-580,0
Co2Nd-108,0
Co3Nd-381,0
Co5Nd-910,0
CoNd3-27,0
Fe17Nd2-327,0
Fe17Nd5-303,0
Fe2Nd-453,0
Mn23Nd6-438,2
Ni2Nd-9,0
Ni5Nd-7,0
Co2Pr-45,0
Co5Pr-931,0
CoPr3-14,0
Fe17Pr2-280,0
Mn23Pr6-448,2
Ni5Pr-0,0
Co17Sm2-1193,1
Co2Sm-230,1
Co5Sm-1273,1
CoSm3-78,1
Fe17Sm2-395,1
Fe2Sm-676,1
Fe3Sm-657,1
Mn23Sm6-450,1
Ni2Sm-22,1
Co2Tb-230,0
Co5Tb-979,0
CoTb3-77,0
Fe17Tb2-411,0
Fe2Tb-701,0
Fe3Tb-651,0
Mn23Tb6-454,2
Mn2Tb-48,2
Ni2Tb-40,0
Ni5Tb-23,0
Co2Tm-4,1
Co3Tm-370,1
Co7Tm2-640,1
Fe17Tm2-271,1
Fe2Tm-562,1
NiTm-7,1
Mn23Yb6-406,1
NiYb-9,1
